id,prompt,answer,media,type
1,Đây là con gì?,Mèo,cat.jpg,image
2,Đây là từ gì,Thái độ,doan tu 1.jpeg,image
3,Đây là bài gì thời 8x - 9x,Anh nguyện chết vì em,anh nguyen chet vi em.mp4,video
4,Đây là từ gì,Tứ kết,doan tu 2.jpeg,image
5,Đây là tỉnh nào?,Sóc Trăng,day la tinh nao 1.jpg,image
6,Đây là bài hát gì của ca sĩ RÁCH,Về bên anh,ve ben anh.mp4,video
7,Tên đầy đủ của nhân vật MXH này là gì?,Ngô Bá Khá,nhan vat.mp4,video
8,Đây là câu thành ngữ gì?,Đàn gảy tai trâu,ca dao 1.jpeg,image
9,Đây nữ tiktoker triệu view nào?,Quỳnh Bei,quynh bei.mp4,video
10,Đây là ai?,Bruno Fernandes,cau thu.mp4,video
